geography,Mean.Age,Median.Age,Percentage.Age.18.to.19,Percentage.Age.20.to.24,Percentage.Age.25.to.29,Percentage.Age.30.to.44,Percentage.Age.45.to.59,Percentage.Age.60.to.64,Percentage.Age.65.to.74,Percentage.Age.75.to.84,Percentage.Age.85.to.89,Percentage.Age.90.and.over
Mitcham and Morden,35.4,34.0,2.46858603264342,7.033050010648803,9.345776297701795,25.0653449243935,17.665395264187108,4.134639586439234,5.713566574377045,3.8064628550407558,0.9264458169567659,0.44144126701388214
Old Bexley and Sidcup,40.8,41.0,2.56707826571349,6.430461424194596,5.702813109274905,19.089453161266363,20.37531334137963,5.895460031566243,9.067171107603752,6.863336737535976,1.8173800018568376,0.9168136663262464
Orpington,41.4,43.0,2.0968997934700417,4.980419154242893,4.6226596092859475,19.142957102711975,20.628167074836075,6.742130982879456,10.194454162763664,7.027661471441308,1.627410926901938,0.7426049860620493
Poplar and Limehouse,30.6,29.0,2.203580721581421,10.77634082877005,15.392442424948541,29.351042758942096,11.629966212280088,2.301448599945629,2.9818633733348867,1.9216280243892967,0.40545263893743444,0.1662200473804808
Putney,35.2,32.0,2.366268362670778,7.55171527688552,13.761831341813355,29.06441389352863,14.620540494239581,3.885605379245364,5.180093365882907,3.3470384170628296,0.9818407640584179,0.5749710908390081
Richmond Park,37.8,37.0,1.9196206973281071,5.392567995481231,6.846618626225973,26.400561422727353,18.818787121510365,5.157215480204714,6.861167690806703,4.291974051315407,1.3633329339472469,0.8001985519401604
Romford,39.4,39.0,2.389096293824431,6.558283104260955,7.171460153919954,20.53934552735312,19.72281894591945,5.947191690825286,8.10999645441842,5.880451331678729,1.5715268942790999,0.7164160427138299
"Ruislip, Northwood and Pinner",41.4,42.0,1.9100260361090957,5.005548678987579,5.715139357206881,20.381791796491527,20.807546203423108,6.387383157625165,9.29190319689274,6.729907379743054,1.795851295403133,0.9955610568099365
Streatham,33.7,32.0,1.582845122820437,8.09328442536029,14.02395563513725,29.6072875197747,15.419049771395791,2.9840237817916315,4.145298402378179,2.7128279123133354,0.7066738521982512,0.36072527510734836
Sutton and Cheam,39.3,39.0,1.8539610225259426,5.333038049438961,7.0752130262380835,23.78406310638657,19.456044883151943,5.612503163756012,7.659453302961277,5.429005315110098,1.5998059562979834,0.8542141230068337
Tooting,34.2,32.0,1.8495649733370756,7.832351015062214,14.237066142763588,30.66329871830854,14.44101412667228,3.287491814014407,4.535503788941903,2.77949293666386,0.7484329684722613,0.4284778744503695
Tottenham,32.8,31.0,2.577435254609748,8.486733675340654,10.73531573775312,26.516400102137933,15.482408288647989,3.1709185449987234,4.60162337411113,2.811888236340986,0.5014043965737366,0.23445298173123794
Twickenham,38.1,38.0,2.0614605800253116,5.482968218035329,6.515926632323844,25.5824316857097,19.83387105399191,5.437514482807793,6.734282811358086,4.384057325181369,1.280725833764104,0.7976684907577405
Uxbridge and South Ruislip,36.2,34.0,3.961785075629588,10.31743679421441,7.695347619471038,21.98346127626782,17.54250768151595,4.499244198109014,6.422834108894751,4.465653002954049,1.0847980082397226,0.5858699625556972
Vauxhall,33.8,31.0,1.9529434461953994,10.658318206133313,16.753045171134673,27.870879482255134,15.49288363894662,2.8561907517999177,4.049704909982198,2.421228942499101,0.5752720703655959,0.22800417423026667
Walthamstow,33.1,32.0,2.128290626713283,7.522716446617474,10.599210878728778,27.689348660381256,15.697940914769509,3.2023224252446907,4.306912450679921,2.7601269065187886,0.7001429046493444,0.40085203526778895
West Ham,31.7,29.0,2.6033564770902102,10.84721326402853,13.680742623717922,25.023080522568325,14.237836880778035,2.865778856976641,3.8642485867132073,2.2233182835679326,0.5084038395872065,0.22890819643105564
Westminster North,35.7,33.0,1.783833314778498,6.818473764890255,11.9241935069495,29.76766491680297,15.706810766371786,3.7920374065478586,5.611838555805808,3.6087727261049403,0.9394455815228097,0.4701509792671125
Wimbledon,37.2,35.0,1.3475802686861351,5.3809844908968305,10.605321852793196,28.809585559416984,17.048602105918356,4.674516313086778,6.201566471290005,4.183826961979356,1.1909331396856684,0.7427771149955911
Aldershot,37.0,36.0,2.403725871326572,7.002367159985373,7.577798733665634,23.68699601624295,18.793903119647428,5.117299513096361,7.028348184215084,3.9991532110621426,1.0738823348280442,0.579280614306884
Arundel and South Downs,44.8,47.0,1.8721663051188993,3.8625638705830343,3.4646899770734167,16.97081230016347,22.11952666371945,7.998601786834178,12.340259286294426,8.016079451406952,2.242281554895288,1.2840942971408598
Ashford,39.4,40.0,2.465911103240659,5.349743226491943,5.573755976624756,20.179741455640162,19.666194439525412,6.368868425712767,9.024260669381972,5.4250044271294495,1.506994864529839,0.7942270231981583
Aylesbury,38.1,38.0,2.129097355290807,5.431975339498458,6.539105964249678,22.713766002943707,20.057948475844,5.563423958825108,7.565701167300768,4.751589880307701,1.182111879437548,0.6840882371999593
Banbury,38.3,38.0,2.203039142527644,5.403296926938471,6.9304999660809985,22.35177396377451,19.711179702869547,5.800997218641883,7.868360355471135,4.739332474051964,1.2151482260362254,0.6444610270673631
Basingstoke,36.9,36.0,2.0408163265306123,6.004852031556724,7.8817733990147785,24.107374347198043,19.047927701025962,5.224267565465388,6.866920997073965,4.075150931515982,1.0028149190710767,0.4509426275047224
